# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.0 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-06-15T00:00:00.0
# Date end (ISO 8601): 2022-07-16T00:00:00.0
# Latitude (positive North, ISO 19115): 41.8900
# Longitude (positive East, ISO 19115): 12.4900
# Altitude (m): 39.00
# Time reference: True Solar Time (TST)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2022-07-24
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-06-25T18:00:00.0/2022-06-25T19:00:00.0;231.8089;89.2005;20.1761;69.0244;100.1454;80.8053;11.7336;69.0717;51.5940;1.0000
2022-06-25T19:00:00.0/2022-06-25T20:00:00.0;29.9023;7.3336;0.2955;7.0381;4.6957;5.2936;0.0000;5.2936;0.0000;1.0000
2022-06-25T20:00:00.0/2022-06-25T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-25T21:00:00.0/2022-06-25T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-25T22:00:00.0/2022-06-25T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-25T23:00:00.0/2022-06-26T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-26T00:00:00.0/2022-06-26T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-26T01:00:00.0/2022-06-26T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-26T02:00:00.0/2022-06-26T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-26T03:00:00.0/2022-06-26T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-26T04:00:00.0/2022-06-26T05:00:00.0;29.8206;7.8130;0.4579;7.3551;7.2363;5.8691;0.0000;5.8691;0.0000;1.0000
2022-06-26T05:00:00.0/2022-06-26T06:00:00.0;231.5833;97.0839;28.8302;68.2537;144.8001;88.5176;21.5200;66.9977;99.2083;1.0000
2022-06-26T06:00:00.0/2022-06-26T07:00:00.0;465.9677;260.6525;129.4529;131.1996;358.3730;248.1570;130.4754;117.6817;359.8564;1.0000
2022-06-26T07:00:00.0/2022-06-26T08:00:00.0;692.3715;444.7071;268.3800;176.3271;507.6389;433.7607;282.2691;151.4916;533.6315;1.0000
2022-06-26T08:00:00.0/2022-06-26T09:00:00.0;895.3631;618.7234;410.6296;208.0938;602.9684;611.3905;436.6990;174.6915;641.1947;1.0000
2022-06-26T09:00:00.0/2022-06-26T10:00:00.0;1061.1062;763.9145;533.2117;230.7027;661.6436;761.6923;569.9344;191.7579;707.1785;1.0000
2022-06-26T10:00:00.0/2022-06-26T11:00:00.0;1178.3022;858.0338;594.3348;263.6990;664.7272;861.4605;647.0043;214.4562;723.5410;1.0000
2022-06-26T11:00:00.0/2022-06-26T12:00:00.0;1238.9612;897.8203;597.7144;300.1059;635.7285;754.8365;395.9771;358.8595;422.2928;1.0000
2022-06-26T12:00:00.0/2022-06-26T13:00:00.0;1238.9460;883.8765;558.5345;325.3420;593.9092;577.4258;149.4499;427.9760;158.8895;1.0000
2022-06-26T13:00:00.0/2022-06-26T14:00:00.0;1178.2557;826.3885;505.8898;320.4987;565.5375;608.5638;203.3639;405.1999;228.5968;1.0000
2022-06-26T14:00:00.0/2022-06-26T15:00:00.0;1061.0243;723.7756;424.6753;299.1003;526.7867;481.9673;142.6443;339.3231;173.6156;1.0000
2022-06-26T15:00:00.0/2022-06-26T16:00:00.0;895.2396;579.9693;314.5001;265.4692;461.4487;392.3289;83.9476;308.3812;126.3630;1.0000
2022-06-26T16:00:00.0/2022-06-26T17:00:00.0;692.1989;407.4763;189.6632;217.8130;357.7353;361.6884;152.6245;209.0639;289.5950;1.0000
2022-06-26T17:00:00.0/2022-06-26T18:00:00.0;465.7381;229.3587;77.9938;151.3649;213.9604;204.8391;57.7123;147.1268;159.9627;1.0000
2022-06-26T18:00:00.0/2022-06-26T19:00:00.0;231.2889;82.2367;12.9275;69.3092;63.2367;73.1564;5.2523;67.9041;22.0655;1.0000
2022-06-26T19:00:00.0/2022-06-26T20:00:00.0;29.6400;6.8712;0.1681;6.7031;2.7264;4.3771;0.0000;4.3771;0.0000;1.0000
2022-06-26T20:00:00.0/2022-06-26T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-26T21:00:00.0/2022-06-26T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-26T22:00:00.0/2022-06-26T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-26T23:00:00.0/2022-06-27T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-27T00:00:00.0/2022-06-27T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-27T01:00:00.0/2022-06-27T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-27T02:00:00.0/2022-06-27T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-27T03:00:00.0/2022-06-27T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-27T04:00:00.0/2022-06-27T05:00:00.0;29.4875;7.1332;0.1879;6.9453;3.0978;5.2593;0.0000;5.2593;0.0000;1.0000
2022-06-27T05:00:00.0/2022-06-27T06:00:00.0;231.0175;86.4221;15.5477;70.8744;76.4726;79.0722;8.6229;70.4494;37.3246;1.0000
2022-06-27T06:00:00.0/2022-06-27T07:00:00.0;465.4438;237.8659;86.5748;151.2912;238.3878;227.3758;88.4016;138.9741;241.6607;1.0000
2022-06-27T07:00:00.0/2022-06-27T08:00:00.0;691.8890;413.7664;194.6723;219.0941;367.8966;406.0781;216.4530;189.6251;408.6639;1.0000
2022-06-27T08:00:00.0/2022-06-27T09:00:00.0;894.9185;581.2632;309.9763;271.2869;455.1585;578.3679;352.5268;225.8411;517.5036;1.0000
2022-06-27T09:00:00.0/2022-06-27T10:00:00.0;1060.6927;720.9772;409.2581;311.7191;507.8961;724.7820;470.6647;254.1173;584.0336;1.0000
2022-06-27T10:00:00.0/2022-06-27T11:00:00.0;1177.9108;823.5584;486.3936;337.1648;543.8472;832.3396;562.1703;270.1693;628.5608;1.0000
2022-06-27T11:00:00.0/2022-06-27T12:00:00.0;1238.5804;877.9421;528.7126;349.2295;562.3806;883.2386;602.0966;281.1420;640.5236;1.0000
2022-06-27T12:00:00.0/2022-06-27T13:00:00.0;1238.5636;877.7073;527.6592;350.0481;561.2629;874.6338;582.2122;292.4216;619.4471;1.0000
2022-06-27T13:00:00.0/2022-06-27T14:00:00.0;1177.8586;824.8228;487.8436;336.9792;545.5222;832.9665;562.8622;270.1043;629.3699;1.0000
2022-06-27T14:00:00.0/2022-06-27T15:00:00.0;1060.6000;722.7517;411.7430;311.0087;510.9460;604.1313;283.4135;320.7178;346.7722;1.0000
2022-06-27T15:00:00.0/2022-06-27T16:00:00.0;894.7770;579.5093;307.3939;272.1154;451.2879;421.9150;110.7228;311.1922;162.7930;1.0000
2022-06-27T16:00:00.0/2022-06-27T17:00:00.0;691.6890;404.8522;184.2631;220.5892;347.6381;316.7859;91.4899;225.2960;170.5236;1.0000
2022-06-27T17:00:00.0/2022-06-27T18:00:00.0;465.1746;225.6517;74.9484;150.7033;205.8378;163.0918;10.0804;153.0113;26.3874;1.0000
2022-06-27T18:00:00.0/2022-06-27T19:00:00.0;230.6690;80.4407;12.8449;67.5958;63.5793;57.1523;0.0000;57.1523;0.0000;1.0000
2022-06-27T19:00:00.0/2022-06-27T20:00:00.0;29.3021;6.6563;0.1910;6.4653;3.0473;3.1102;0.0000;3.1102;0.0000;1.0000
2022-06-27T20:00:00.0/2022-06-27T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-27T21:00:00.0/2022-06-27T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-27T22:00:00.0/2022-06-27T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-27T23:00:00.0/2022-06-28T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-28T00:00:00.0/2022-06-28T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-28T01:00:00.0/2022-06-28T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-28T02:00:00.0/2022-06-28T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-28T03:00:00.0/2022-06-28T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-28T04:00:00.0/2022-06-28T05:00:00.0;29.1456;7.0856;0.2578;6.8278;4.2080;5.2070;0.0000;5.2070;0.0000;1.0000
2022-06-28T05:00:00.0/2022-06-28T06:00:00.0;230.3519;87.3131;17.9945;69.3186;89.6212;76.1457;5.7562;70.3895;24.6599;1.0000
2022-06-28T06:00:00.0/2022-06-28T07:00:00.0;464.8340;240.1908;94.1864;146.0045;259.9310;225.3708;90.2372;135.1336;244.0939;1.0000
2022-06-28T07:00:00.0/2022-06-28T08:00:00.0;691.3340;422.0516;218.0485;204.0031;412.0358;413.3074;236.7106;176.5968;447.0374;1.0000
2022-06-28T08:00:00.0/2022-06-28T09:00:00.0;894.4135;598.1039;356.2095;241.8944;523.0780;516.0189;237.2652;278.7538;354.0429;1.0000
2022-06-28T09:00:00.0/2022-06-28T10:00:00.0;1060.2289;746.3695;481.3079;265.0616;597.4235;694.4379;425.7107;268.7273;525.8777;1.0000
2022-06-28T10:00:00.0/2022-06-28T11:00:00.0;1177.4761;846.6976;554.7258;291.9718;620.6366;685.1963;310.6086;374.5877;349.9680;1.0000
2022-06-28T11:00:00.0/2022-06-28T12:00:00.0;1238.1603;894.2381;577.4230;316.8151;614.4034;523.3849;97.6655;425.7194;104.1134;1.0000
2022-06-28T12:00:00.0/2022-06-28T13:00:00.0;1238.1418;887.6716;560.1042;327.5674;595.9067;326.9325;5.7860;321.1465;6.1078;1.0000
2022-06-28T13:00:00.0/2022-06-28T14:00:00.0;1177.4186;830.9079;510.6347;320.2733;571.1523;489.7277;91.8111;397.9166;103.6482;1.0000
2022-06-28T14:00:00.0/2022-06-28T15:00:00.0;1060.1259;725.9924;427.3072;298.6852;530.4047;391.0465;33.8812;357.1653;40.6529;1.0000
2022-06-28T15:00:00.0/2022-06-28T16:00:00.0;894.2546;580.1682;315.8069;264.3613;463.8379;225.0832;0.0000;225.0832;0.0000;1.0000
2022-06-28T16:00:00.0/2022-06-28T17:00:00.0;691.1070;411.2678;197.8771;213.3907;374.4273;207.9812;21.0543;186.9268;38.2217;1.0000
2022-06-28T17:00:00.0/2022-06-28T18:00:00.0;464.5254;237.2599;90.3456;146.9143;250.3739;105.8897;3.3822;102.5074;12.2632;1.0000
2022-06-28T18:00:00.0/2022-06-28T19:00:00.0;229.9490;88.0973;19.5556;68.5417;99.0524;71.7887;3.4154;68.3734;15.7043;1.0000
2022-06-28T19:00:00.0/2022-06-28T20:00:00.0;28.9083;7.1314;0.3420;6.7893;5.4325;5.1244;0.0000;5.1244;0.0000;1.0000
2022-06-28T20:00:00.0/2022-06-28T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-28T21:00:00.0/2022-06-28T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-28T22:00:00.0/2022-06-28T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-28T23:00:00.0/2022-06-29T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-29T00:00:00.0/2022-06-29T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-29T01:00:00.0/2022-06-29T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-29T02:00:00.0/2022-06-29T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-29T03:00:00.0/2022-06-29T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-29T04:00:00.0/2022-06-29T05:00:00.0;28.7371;9.1571;1.9797;7.1774;31.1918;6.9975;0.1560;6.8415;1.9033;1.0000
2022-06-29T05:00:00.0/2022-06-29T06:00:00.0;229.5862;117.0642;61.8020;55.2622;327.7891;106.0595;54.5594;51.5001;279.8686;1.0000
2022-06-29T06:00:00.0/2022-06-29T07:00:00.0;464.1384;294.5577;201.4066;93.1511;564.6080;278.8474;198.1675;80.6799;554.7155;1.0000
2022-06-29T07:00:00.0/2022-06-29T08:00:00.0;690.7073;481.6983;362.1219;119.5764;688.2824;466.5718;363.4852;103.0866;690.6736;1.0000
2022-06-29T08:00:00.0/2022-06-29T09:00:00.0;893.8491;654.5771;515.0185;139.5586;758.0959;642.6774;521.3029;121.3745;767.2233;1.0000
2022-06-29T09:00:00.0/2022-06-29T10:00:00.0;1059.7159;797.4968;642.4969;154.9999;798.3559;790.8135;656.4094;134.4041;815.5737;1.0000
2022-06-29T10:00:00.0/2022-06-29T11:00:00.0;1176.9994;898.0581;728.8478;169.2103;815.6930;895.0102;750.4680;144.5423;839.8539;1.0000
2022-06-29T11:00:00.0/2022-06-29T12:00:00.0;1237.7018;948.5864;767.6877;180.8988;817.0848;947.2656;794.9105;152.3551;846.0519;1.0000
2022-06-29T12:00:00.0/2022-06-29T13:00:00.0;1237.6818;945.2428;757.3101;187.9327;806.0094;944.5673;787.2900;157.2772;837.9229;1.0000
2022-06-29T13:00:00.0/2022-06-29T14:00:00.0;1176.9366;891.7945;710.5126;181.2819;795.1841;889.6010;736.0627;153.5381;823.7422;1.0000
2022-06-29T14:00:00.0/2022-06-29T15:00:00.0;1059.6025;790.2996;623.6962;166.6033;775.0575;784.3159;640.7324;143.5836;796.1358;1.0000
2022-06-29T15:00:00.0/2022-06-29T16:00:00.0;893.6729;647.3188;499.8434;147.4754;735.9095;635.9014;507.4843;128.4171;747.0045;1.0000
2022-06-29T16:00:00.0/2022-06-29T17:00:00.0;690.4532;476.3309;354.3475;121.9834;673.9918;461.2248;354.8759;106.3489;674.6594;1.0000
2022-06-29T17:00:00.0/2022-06-29T18:00:00.0;463.7905;292.4554;201.6664;90.7890;566.7737;276.2526;196.2329;80.0197;550.3718;1.0000
2022-06-29T18:00:00.0/2022-06-29T19:00:00.0;229.1292;118.0454;66.1650;51.8803;355.0311;106.0795;56.8026;49.2769;294.1225;1.0000
2022-06-29T19:00:00.0/2022-06-29T20:00:00.0;28.4589;9.2996;2.4025;6.8970;38.3143;6.8856;0.2268;6.6587;2.8088;1.0000
2022-06-29T20:00:00.0/2022-06-29T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-29T21:00:00.0/2022-06-29T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-29T22:00:00.0/2022-06-29T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-29T23:00:00.0/2022-06-30T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T00:00:00.0/2022-06-30T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T01:00:00.0/2022-06-30T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T02:00:00.0/2022-06-30T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T03:00:00.0/2022-06-30T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T04:00:00.0/2022-06-30T05:00:00.0;28.2546;9.6802;2.7086;6.9715;43.3637;7.3877;0.5592;6.8285;7.1914;1.0000
2022-06-30T05:00:00.0/2022-06-30T06:00:00.0;228.7208;124.5029;75.0232;49.4797;403.0260;112.6476;67.8188;44.8288;355.3704;1.0000
2022-06-30T06:00:00.0/2022-06-30T07:00:00.0;463.3575;308.9412;229.6887;79.2525;646.0584;291.8797;224.9497;66.9300;632.0814;1.0000
2022-06-30T07:00:00.0/2022-06-30T08:00:00.0;690.0089;501.3017;402.7594;98.5422;766.6045;483.9106;399.5193;84.3913;760.3326;1.0000
2022-06-30T08:00:00.0/2022-06-30T09:00:00.0;893.2254;678.0909;565.8813;112.2095;833.6339;663.2040;564.8699;98.3341;832.0213;1.0000
2022-06-30T09:00:00.0/2022-06-30T10:00:00.0;1059.1536;824.1564;701.9493;122.2071;872.6752;813.6478;705.8660;107.7818;877.4876;1.0000
2022-06-30T10:00:00.0/2022-06-30T11:00:00.0;1176.4805;928.7700;800.6426;128.1273;896.3376;920.5052;807.9404;112.5648;904.4966;1.0000
2022-06-30T11:00:00.0/2022-06-30T12:00:00.0;1237.2047;983.3837;852.4447;130.9390;907.5941;975.9528;861.5755;114.3772;917.3142;1.0000
2022-06-30T12:00:00.0/2022-06-30T13:00:00.0;1237.1831;983.4411;852.2240;131.2170;907.3740;975.9970;861.4756;114.5215;917.2224;1.0000
2022-06-30T13:00:00.0/2022-06-30T14:00:00.0;1176.4124;930.4227;804.1524;126.2702;900.3565;921.7297;810.5197;111.2101;907.4606;1.0000
2022-06-30T14:00:00.0/2022-06-30T15:00:00.0;1059.0298;827.5905;709.7968;117.7937;882.5776;816.2891;711.7492;104.5399;884.9343;1.0000
2022-06-30T15:00:00.0/2022-06-30T16:00:00.0;893.0317;682.2654;575.4484;106.8170;848.0015;666.4521;572.1517;94.3005;842.9836;1.0000
2022-06-30T16:00:00.0/2022-06-30T17:00:00.0;689.7278;505.6446;411.5317;94.1129;783.7022;487.2124;406.2491;80.9633;773.5184;1.0000
2022-06-30T17:00:00.0/2022-06-30T18:00:00.0;462.9703;313.2370;236.8308;76.4062;667.2409;295.0989;230.6581;64.4409;649.0984;1.0000
2022-06-30T18:00:00.0/2022-06-30T19:00:00.0;228.2098;127.8112;79.5476;48.2636;429.6973;114.7007;71.0776;43.6232;373.8141;1.0000
2022-06-30T19:00:00.0/2022-06-30T20:00:00.0;27.9296;9.8724;2.8656;7.0069;45.9186;7.3539;0.5788;6.7751;7.4791;1.0000
2022-06-30T20:00:00.0/2022-06-30T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T21:00:00.0/2022-06-30T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T22:00:00.0/2022-06-30T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T23:00:00.0/2022-07-01T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T00:00:00.0/2022-07-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T01:00:00.0/2022-07-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T02:00:00.0/2022-07-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T03:00:00.0/2022-07-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T04:00:00.0/2022-07-01T05:00:00.0;27.7411;7.7889;0.5962;7.1928;9.4920;3.9624;0.0000;3.9624;0.0000;1.0000
2022-07-01T05:00:00.0/2022-07-01T06:00:00.0;227.7560;100.0507;31.7966;68.2541;164.8550;75.4815;15.4488;60.0327;66.2813;1.0000
2022-07-01T06:00:00.0/2022-07-01T07:00:00.0;462.4912;261.6230;127.0568;134.5662;355.4998;248.5917;129.1983;119.3934;360.3694;1.0000
2022-07-01T07:00:00.0/2022-07-01T08:00:00.0;689.2388;432.3144;234.3633;197.9511;446.6352;388.7628;190.3696;198.3932;368.5234;1.0000
2022-07-01T08:00:00.0/2022-07-01T09:00:00.0;892.5422;587.4047;324.2759;263.1288;478.1253;539.3973;283.8807;255.5166;417.6284;1.0000
2022-07-01T09:00:00.0/2022-07-01T10:00:00.0;1058.5417;714.6478;400.1958;314.4521;497.8397;710.0393;447.1655;262.8738;555.0719;1.0000
2022-07-01T10:00:00.0/2022-07-01T11:00:00.0;1175.9191;813.5493;470.8094;342.7400;527.1702;823.4959;547.7228;275.7731;613.2878;1.0000
2022-07-01T11:00:00.0/2022-07-01T12:00:00.0;1236.6688;868.2097;515.7345;352.4752;549.2975;880.2766;600.1119;280.1647;639.1677;1.0000
2022-07-01T12:00:00.0/2022-07-01T13:00:00.0;1236.6456;868.1768;517.5423;350.6346;551.2368;817.0604;500.5508;316.5096;532.6906;1.0000
2022-07-01T13:00:00.0/2022-07-01T14:00:00.0;1175.8456;810.0109;466.5313;343.4796;522.3344;647.9515;281.8357;366.1157;312.7439;1.0000
2022-07-01T14:00:00.0/2022-07-01T15:00:00.0;1058.4076;700.4537;375.7342;324.7195;466.8416;487.3859;129.6821;357.7038;163.3347;1.0000
2022-07-01T15:00:00.0/2022-07-01T16:00:00.0;892.3311;551.3641;263.6025;287.7615;387.5791;454.1595;149.3593;304.8002;217.6485;1.0000
2022-07-01T16:00:00.0/2022-07-01T17:00:00.0;688.9307;389.1234;163.1985;225.9248;309.8354;315.2741;82.3848;232.8893;160.1045;1.0000
2022-07-01T17:00:00.0/2022-07-01T18:00:00.0;462.0649;224.5199;73.2742;151.2457;203.3844;177.5555;31.4067;146.1488;80.2925;1.0000
2022-07-01T18:00:00.0/2022-07-01T19:00:00.0;227.1912;82.6152;13.5180;69.0972;67.9326;70.0838;0.9513;69.1325;4.2756;1.0000
2022-07-01T19:00:00.0/2022-07-01T20:00:00.0;27.3803;6.6016;0.2040;6.3975;3.4869;4.6180;0.0000;4.6180;0.0000;1.0000
2022-07-01T20:00:00.0/2022-07-01T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T21:00:00.0/2022-07-01T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T22:00:00.0/2022-07-01T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T23:00:00.0/2022-07-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T00:00:00.0/2022-07-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T01:00:00.0/2022-07-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T02:00:00.0/2022-07-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T03:00:00.0/2022-07-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T04:00:00.0/2022-07-02T05:00:00.0;27.1598;8.9301;2.2522;6.6780;36.2055;6.7844;0.3293;6.4551;4.2282;1.0000
2022-07-02T05:00:00.0/2022-07-02T06:00:00.0;226.6923;121.2113;72.7296;48.4817;391.0826;109.6252;65.0309;44.5943;340.2278;1.0000
2022-07-02T06:00:00.0/2022-07-02T07:00:00.0;461.5396;305.9073;233.3254;72.5819;658.1412;288.9848;226.4494;62.5354;638.1629;1.0000
2022-07-02T07:00:00.0/2022-07-02T08:00:00.0;688.3963;499.3214;415.3630;83.9584;792.1849;481.9972;407.4238;74.5734;776.9822;1.0000
2022-07-02T08:00:00.0/2022-07-02T09:00:00.0;891.7983;678.0692;588.9630;89.1062;868.8381;663.0275;580.3253;82.7021;855.9999;1.0000
